376989,50329,1341101181
376989,13813,1341101192
453850,8,1341101208
99258,50329,1341101263
75083,84647,1341101732
325821,8,1341102141
104321,238279,1341102794
408376,8,1341102802
247125,463,1341103262
224480,93318,1341103333
47619,8,1341103646
134554,33946,1341103868
206362,64911,1341104114
331967,331965,1341104791
383669,54200,1341104812
197097,519,1341105211
416098,3604,1341105342
318838,302130,1341106501
446328,5411,1341106547
75470,4665,1341106591
50295,50218,1341106676
38819,33833,1341106736
38819,50218,1341106765
130621,3024,1341106816
247674,519,1341106893
114351,2687,1341107042
195886,8,1341107090
50222,33833,1341107096
46996,33833,1341107718
34790,120250,1341107906
207707,13812,1341108247
162386,69340,1341108319
445899,519,1341108571
250401,59343,1341108779
432622,59343,1341108852
82732,3209,1341108947
147510,59343,1341109157
6669,9192,1341109291
294403,59343,1341109358
3066,9192,1341109376
199121,9192,1341109477
175283,59343,1341109631
190062,59343,1341109690
33463,8,1341109784
54873,25115,1341109856
146847,8,1341109862
38517,193315,1341110159
47517,7117,1341110457
121932,7117,1341110468
6645,73370,1341110672
87074,7117,1341110957
9231,3024,1341110958
107640,131873,1341111092
97154,7117,1341111093
364376,184615,1341111244
10367,170707,1341111370
281951,170862,1341111580
93337,9192,1341111827
357642,519,1341111879
296524,8,1341112376
93252,6682,1341112567
6672,73370,1341112643
133111,133104,1341112753
175719,133104,1341112755
271995,73370,1341112823
6701,93314,1341112852
369148,59343,1341112968
152027,8,1341113010
47499,196130,1341113457
183325,7216,1341113530
296119,296120,1341113695
6658,130621,1341113864
137652,3604,1341113886
64998,30225,1341114221
109391,130621,1341114502
28962,11597,1341114733
93274,133437,1341114933
6701,133437,1341114956
207707,13812,1341114971
176488,13813,1341115012
265559,42178,1341115105
93308,73367,1341115621
229083,13627,1341115622
228311,285914,1341115904
52936,42178,1341115946
52936,42178,1341115951
195059,130621,1341116016
5444,43367,1341116188
143912,9192,1341116224
285913,285914,1341116534
165791,130621,1341116605
202480,381222,1341116801
86180,23440,1341116921
391175,13813,1341117220
6701,133435,1341117253
170101,170103,1341117272
93317,133435,1341117397
279985,3604,1341117678
317429,3604,1341118009
93321,133435,1341118129
404330,13813,1341118707
319037,354622,1341118878
374703,354622,1341118881
454931,354622,1341118886
431833,354622,1341118891
431834,354622,1341118893
445734,354622,1341118899
132857,64911,1341119346
101238,35376,1341119649
77058,8,1341119708
351608,95871,1341119754
180058,88,1341120580
127808,6677,1341120835
103447,64911,1341120864
6708,6640,1341120914
101109,35376,1341121067
16801,8,1341121164
436094,122456,1341121239
247581,12510,1341121634
42179,42178,1341121656
42179,42178,1341121661
42180,64911,1341121844
42180,42178,1341121864
42180,42178,1341121873
414901,519,1341121987
67517,67503,1341121989
65919,67503,1341122011
414901,62542,1341122197
222663,22849,1341122212
28866,67503,1341122245
96537,42178,1341122646
96537,42178,1341122658
130712,1988,1341122950
53967,3604,1341122958
209611,39422,1341122970
153566,519,1341123028
6677,73370,1341123290
93336,131506,1341123722
44726,216483,1341123783
240985,119429,1341124160
454953,1852,1341124220
381704,8,1341124638
144996,519,1341124697
6692,73370,1341124747
297225,73973,1341125131
425343,3604,1341125152
343700,88846,1341125566
413591,47756,1341125838
170952,170707,1341125854
139593,139598,1341125962
124454,12510,1341125969
9208,7117,1341126347
122529,42831,1341126561
379331,8161,1341126652
451768,1988,1341126671
95728,173141,1341126762
206392,42831,1341126847
212156,7117,1341126898
67371,3604,1341126934
89807,3604,1341126985
109527,88695,1341127096
368677,519,1341127299
344200,9851,1341127316
192414,50512,1341127664
351018,35376,1341127683
13123,13808,1341127821
232850,74583,1341128345
243882,61107,1341128599
109527,13808,1341128678
232850,104567,1341128783
47498,151486,1341128886
47519,7117,1341129022
405101,3604,1341129340
50910,553,1341130009
119553,2156,1341130146
166174,22849,1341130156
10241,553,1341130326
279316,2156,1341130396
10343,2156,1341130436
81105,2156,1341130468
442197,21606,1341130607
105545,13790,1341130845
77999,21606,1341130955
193230,2156,1341130955
26629,553,1341130964
