Smart_contract,ID_token,Transaction_hash,Seller_address,Seller_username,Buyer_address,Buyer_username,Price_Crypto,Crypto,Price_USD,Collection,Market,Datetime_updated,Datetime_updated_seconds,Collection_cleaned,Category
,585180_Cryptokittie,0x7ab501dab1e020a6222a50433bbcd40523237b6907ebba42b6323f02977d21dd,0x7967149ed2fbaa14d1e74d26505573c803c0d698,,0x6353cc3c3898bab604bba392c77a66ebe0e92fa5,,0.001989,ETH,0.395940285,Cryptokitties,Cryptokitties,2018-10-31 00:00:00,2018-10-31 23:38:33,Cryptokittie,Art
,495762_Cryptokittie,0xd9ab1ad6510b86753963831614aece3cbfb501c7ef3023103874471d5f7aed39,0x7967149ed2fbaa14d1e74d26505573c803c0d698,,0xb35ec171bf32972dcd378da88fc98d0340536118,,0.0019991793981481,ETH,0.3979666468923612,Cryptokitties,Cryptokitties,2018-10-31 00:00:00,2018-10-31 23:37:52,Cryptokittie,Art
,985678_Cryptokittie,0x1db2e2b454db7719e60c8dbb0d1630a1481dabf4f3db23974f0bfe41f389ebb0,0x3f537764f0b09436d1794fecb8713d5fcb8f182f,,0x234c87fa0596d69ceb4ac900c7ea8c0bfd0c826e,,0.065,ETH,13.889525,Cryptokitties,Cryptokitties,2018-10-31 00:00:00,2018-10-31 23:35:33,Cryptokittie,Art
,984239_Cryptokittie,0xf1ebbf35196870b1a4b0f4c171f85249c260517ef6055d6b9495e33ae2a42c35,0x3f537764f0b09436d1794fecb8713d5fcb8f182f,,0xfe5d8128b077eeec7fcfab9c44cec07f726913e9,,0.067,ETH,11.84158,Cryptokitties,Cryptokitties,2018-10-31 00:00:00,2018-10-31 23:34:30,Cryptokittie,Art
,984695_Cryptokittie,0xdb04b6b0aac948804b6bf058a732a7656d494a77715a88bd00a054fc071e4aa1,0x3f537764f0b09436d1794fecb8713d5fcb8f182f,,0xfe5d8128b077eeec7fcfab9c44cec07f726913e9,,0.067,ETH,11.84158,Cryptokitties,Cryptokitties,2018-10-31 00:00:00,2018-10-31 23:33:10,Cryptokittie,Art
,981991_Cryptokittie,0x588c4432e655fe0da50d9a87d055af8006f6569d7618c1695fdeea310016e368,0x3f537764f0b09436d1794fecb8713d5fcb8f182f,,0x4ba63d7f1a65ebc8be640a5d6bee9c02336a154c,,0.069,ETH,12.195060000000002,Cryptokitties,Cryptokitties,2018-10-31 00:00:00,2018-10-31 23:32:15,Cryptokittie,Art
,986385_Cryptokittie,0x1603c2148873d5fc79b0df904a6274f672a2e20a4d452b6ea77481b4296614ba,0x3f537764f0b09436d1794fecb8713d5fcb8f182f,,0xcecddbe88359f6ecebe90b42643b002543f27fe9,,0.065,ETH,13.47385,Cryptokitties,Cryptokitties,2018-10-31 00:00:00,2018-10-31 23:32:04,Cryptokittie,Art
,864195_Cryptokittie,0xd59a7a938d068dc8d69ea6ba2d7168c67fe506a1f695ea0c03635e32c7dd7d8f,0x3f537764f0b09436d1794fecb8713d5fcb8f182f,,0x549022ad5cd11816eb7ce6ea15ae61c1fb4edb8a,,0.057,ETH,12.24759,Cryptokitties,Cryptokitties,2018-10-31 00:00:00,2018-10-31 23:28:49,Cryptokittie,Art
,857061_Cryptokittie,0x5a89d0a91e629e3535cd597fc039ae6f7a6c32a4817cd94b7bcd30136f9ba43b,0x3f537764f0b09436d1794fecb8713d5fcb8f182f,,0x52c119b08032eaccb906c5c3ba866fd688305cc8,,0.057,ETH,11.920125,Cryptokitties,Cryptokitties,2018-10-31 00:00:00,2018-10-31 23:28:33,Cryptokittie,Art
,865161_Cryptokittie,0xc7341f7cb620cbb1f13ee4554fc21821bf81a836fc023b2459e61fc85668611a,0x3f537764f0b09436d1794fecb8713d5fcb8f182f,,0x234c87fa0596d69ceb4ac900c7ea8c0bfd0c826e,,0.057,ETH,11.920125,Cryptokitties,Cryptokitties,2018-10-31 00:00:00,2018-10-31 23:27:48,Cryptokittie,Art
